TestFreq,PatchLength,PatchWidth,SlotLength,SlotWidth,Strength
1.95,35.5,26,19.5,12,-0.414447604
1.96,35.5,26,19.5,12,-0.434355842
1.97,35.5,26,19.5,12,-0.455833718
1.98,35.5,26,19.5,12,-0.479018959
1.99,35.5,26,19.5,12,-0.504063013
2,35.5,26,19.5,12,-0.53113257
2.01,35.5,26,19.5,12,-0.560411265
2.02,35.5,26,19.5,12,-0.592101603
2.03,35.5,26,19.5,12,-0.626427093
2.04,35.5,26,19.5,12,-0.663634672
2.05,35.5,26,19.5,12,-0.703997406
2.06,35.5,26,19.5,12,-0.747817533
2.07,35.5,26,19.5,12,-0.795429887
2.08,35.5,26,19.5,12,-0.847205732
2.09,35.5,26,19.5,12,-0.903557087
2.1,35.5,26,19.5,12,-0.964941574
2.11,35.5,26,19.5,12,-1.031867878
2.12,35.5,26,19.5,12,-1.104901865
2.13,35.5,26,19.5,12,-1.184673475
2.14,35.5,26,19.5,12,-1.271884448
2.15,35.5,26,19.5,12,-1.367317013
2.16,35.5,26,19.5,12,-1.47184364
2.17,35.5,26,19.5,12,-1.586438004
2.18,35.5,26,19.5,12,-1.71218732
2.19,35.5,26,19.5,12,-1.850306235
2.2,35.5,26,19.5,12,-2.00215253
2.21,35.5,26,19.5,12,-2.169244925
2.22,35.5,26,19.5,12,-2.3532834
2.23,35.5,26,19.5,12,-2.556172578
2.24,35.5,26,19.5,12,-2.780048911
2.25,35.5,26,19.5,12,-3.027312758
2.26,35.5,26,19.5,12,-3.300666864
2.27,35.5,26,19.5,12,-3.603163463
2.28,35.5,26,19.5,12,-3.93826324
2.29,35.5,26,19.5,12,-4.309910919
2.3,35.5,26,19.5,12,-4.722634562
2.31,35.5,26,19.5,12,-5.181679208
2.32,35.5,26,19.5,12,-5.693191036
2.33,35.5,26,19.5,12,-6.264477137
2.34,35.5,26,19.5,12,-6.904380659
2.35,35.5,26,19.5,12,-7.623836372
2.36,35.5,26,19.5,12,-8.436716922
2.37,35.5,26,19.5,12,-9.361165502
2.38,35.5,26,19.5,12,-10.42178175
2.39,35.5,26,19.5,12,-11.65339566
2.4,35.5,26,19.5,12,-13.10802826
2.41,35.5,26,19.5,12,-14.86890441
2.42,35.5,26,19.5,12,-17.08228443
2.43,35.5,26,19.5,12,-20.04385627
2.44,35.5,26,19.5,12,-24.51384778
2.45,35.5,26,19.5,12,-33.94453853
2.46,35.5,26,19.5,12,-34.53396803
2.47,35.5,26,19.5,12,-24.96617988
2.48,35.5,26,19.5,12,-20.61809808
2.49,35.5,26,19.5,12,-17.81202815
2.5,35.5,26,19.5,12,-15.76101116
2.51,35.5,26,19.5,12,-14.16109423
2.52,35.5,26,19.5,12,-12.8621696
2.53,35.5,26,19.5,12,-11.77878218
2.54,35.5,26,19.5,12,-10.85747988
2.55,35.5,26,19.5,12,-10.06249825
2.56,35.5,26,19.5,12,-9.368663789
2.57,35.5,26,19.5,12,-8.757544862
2.58,35.5,26,19.5,12,-8.215214852
2.59,35.5,26,19.5,12,-7.730878623
2.6,35.5,26,19.5,12,-7.295990238
2.61,35.5,26,19.5,12,-6.903664437
2.62,35.5,26,19.5,12,-6.548271244
2.63,35.5,26,19.5,12,-6.225148864
2.64,35.5,26,19.5,12,-5.930395374
2.65,35.5,26,19.5,12,-5.660714332
2.66,35.5,26,19.5,12,-5.413298179
2.67,35.5,26,19.5,12,-5.18573869
2.68,35.5,26,19.5,12,-4.975957182
2.69,35.5,26,19.5,12,-4.782149376
2.7,35.5,26,19.5,12,-4.602741331
2.71,35.5,26,19.5,12,-4.436353838
2.72,35.5,26,19.5,12,-4.281773378
2.73,35.5,26,19.5,12,-4.137928227
2.74,35.5,26,19.5,12,-4.003868648
2.75,35.5,26,19.5,12,-3.878750344
2.76,35.5,26,19.5,12,-3.761820562
2.77,35.5,26,19.5,12,-3.652406341
2.78,35.5,26,19.5,12,-3.549904528
2.79,35.5,26,19.5,12,-3.453773258
2.8,35.5,26,19.5,12,-3.363524641
2.81,35.5,26,19.5,12,-3.278718469
2.82,35.5,26,19.5,12,-3.198956772
2.83,35.5,26,19.5,12,-3.123879099
2.84,35.5,26,19.5,12,-3.053158409
2.85,35.5,26,19.5,12,-2.986497483
2.86,35.5,26,19.5,12,-2.923625784
2.87,35.5,26,19.5,12,-2.864296702
2.88,35.5,26,19.5,12,-2.808285119
2.89,35.5,26,19.5,12,-2.755385273
2.9,35.5,26,19.5,12,-2.705408863
2.91,35.5,26,19.5,12,-2.658183363
2.92,35.5,26,19.5,12,-2.613550535
2.93,35.5,26,19.5,12,-2.571365101
2.94,35.5,26,19.5,12,-2.531493549
2.95,35.5,26,19.5,12,-2.493813083
2.96,35.5,26,19.5,12,-2.458210668
2.97,35.5,26,19.5,12,-2.42458218
2.98,35.5,26,19.5,12,-2.39283164
2.99,35.5,26,19.5,12,-2.362870524
3,35.5,26,19.5,12,-2.334617145
3.01,35.5,26,19.5,12,-2.307996084
3.02,35.5,26,19.5,12,-2.282937688
3.03,35.5,26,19.5,12,-2.259377605
3.04,35.5,26,19.5,12,-2.237256365
3.05,35.5,26,19.5,12,-2.216518999
3.06,35.5,26,19.5,12,-2.197114693
3.07,35.5,26,19.5,12,-2.178996467
3.08,35.5,26,19.5,12,-2.162120886
3.09,35.5,26,19.5,12,-2.146447797
3.1,35.5,26,19.5,12,-2.131940078
3.11,35.5,26,19.5,12,-2.118563419
3.12,35.5,26,19.5,12,-2.10628611
3.13,35.5,26,19.5,12,-2.095078855
3.14,35.5,26,19.5,12,-2.084914588
3.15,35.5,26,19.5,12,-2.075768316
3.16,35.5,26,19.5,12,-2.067616961
3.17,35.5,26,19.5,12,-2.060439223
3.18,35.5,26,19.5,12,-2.054215443
3.19,35.5,26,19.5,12,-2.048927482
3.2,35.5,26,19.5,12,-2.044558609
3.21,35.5,26,19.5,12,-2.041093385
3.22,35.5,26,19.5,12,-2.038517569
3.23,35.5,26,19.5,12,-2.036818018
3.24,35.5,26,19.5,12,-2.0359826
3.25,35.5,26,19.5,12,-2.036000106
3.26,35.5,26,19.5,12,-2.036860173
3.27,35.5,26,19.5,12,-2.038553208
3.28,35.5,26,19.5,12,-2.041070314
3.29,35.5,26,19.5,12,-2.044403226
3.3,35.5,26,19.5,12,-2.048544245
3.31,35.5,26,19.5,12,-2.053486175
3.32,35.5,26,19.5,12,-2.059222269
3.33,35.5,26,19.5,12,-2.065746175
3.34,35.5,26,19.5,12,-2.073051879
3.35,35.5,26,19.5,12,-2.081133661
3.36,35.5,26,19.5,12,-2.089986047
3.37,35.5,26,19.5,12,-2.099603763
3.38,35.5,26,19.5,12,-2.1099817
3.39,35.5,26,19.5,12,-2.121114866
3.4,35.5,26,19.5,12,-2.132998355
3.41,35.5,26,19.5,12,-2.145627312
3.42,35.5,26,19.5,12,-2.158996901
3.43,35.5,26,19.5,12,-2.17310227
3.44,35.5,26,19.5,12,-2.187938531
3.45,35.5,26,19.5,12,-2.203500725
3.46,35.5,26,19.5,12,-2.219783807
3.47,35.5,26,19.5,12,-2.236782617
3.48,35.5,26,19.5,12,-2.254491861
